Id,Competitor,Rating,Logo,Difference,Jobbuzzname,Website,Work Life Balance ,Salary,Company Culture,Career Growth,Industry,Founded,Founders,Turnover,Headquarters,Employees,Compititors,Description
1,ABC,3.8,http://jobbuzz.timesjobs.com/ndata_images/logos/000018.gif,N,ABC Bearings Limited,http://www.abcbearings.com/,3.8,3.9,3.9,3.8, Transportation Equipment,-,-, 100 - 500,-, 201 - 500," Amtek Auto Ltd , NRB Bearings Ltd , Uttam Galva Steels , SKF India Ltd , Mahindra & Mahindra Ltd",0
2,AbsolutData,3.8,http://jobbuzz.timesjobs.com/ndata_images/logos/003107.gif,N,AbsolutData Research & Analytics (P) Ltd,http://www.absolutdata.com,4,3,4,4," Media, Entertainment, Advertising & Related Services",-,-, 1 - 100,-, 201 - 500,-,"Absolutdata Research and Analytics is a consulting-oriented Analytics & Research firm based out of San Francisco, California. Absolutdata has domestic offices in New York and Los Angeles. Its international offices are located in Gurgaon and Bangalore, India, London, UK and Dubai, United Arab Emirates.  "
3,Aditya Birla Group,3.8,http://jobbuzz.timesjobs.com/ndata_images/logos/000267.png,Y,Aditya Birla Group,http://www.adityabirla.com/,3.8,3.8,3.9,3.8, Other Industry,1857, Mr. Kumar Mangalam Birla, 10000+," Mumbai, Maharashtra", 10001+," Tata Steel Ltd , Larsen and Toubro Ltd","The Aditya Birla Group is an Indian multinational conglomerate named after Aditya Vikram Birla, headquartered in the Aditya Birla Centre in Worli, Mumbai, India.   It operates in 40 countries with more than 1.2 lakh employees worldwide.  The group was founded by Seth Shiv Narayan Birla in 1857. The group interests in sectors such as viscose staple fibre, metals, cement (largest in India), viscose filament yarn, branded apparel, carbon black, chemicals, fertilisers, insulators, financial services, telecom (third largest in India), BPO and IT services.The group had a revenue of approximately US$45 billion in year 2014.   With a gross revenue of USD 45 billion (in 2014). It is the third-largest Indian private sector conglomerate behind Tata Group with revenue of just over US$100 billion and RIL with revenue of US$74 billion."
4,ABB,3.6,http://jobbuzz.timesjobs.com/ndata_images/logos/000015.png,N,ABB India Ltd,http://www.abb.com/,3.7,3.4,3.7,3.6, Heavy Machinery/Capital Goods & Industrial Supplies,1988, Ulrich Spiesshofer, 5000 - 10000," Zurich, Switzerland", 10001+," Eaton Corporation , Schneider Electric Pvt Ltd , Siemens Ltd","ABB (ASEA Brown Boveri) is a multinational corporation headquartered in Zurich, Switzerland, operating mainly in robotics and the power and automation technology areas. It ranked 158th in the Forbes Ranking (2013).ABB is one of the largest engineering companies as well as one of the largest conglomerates in the world. ABB has operations in around 100 countries, with approximately 140,000 employees in October 2015,  and reported global revenue of $39.8 billion for 2014. ABB is traded on the SIX Swiss Exchange in Zürich, Nasdaq Stockholm and the New York Stock Exchange in the United States. "
5,Accenture,3.7,http://jobbuzz.timesjobs.com/ndata_images/logos/000034.gif,N,Accenture Pvt Ltd,http://www.accenture.com/,3.6,3.7,3.7,3.8," Technology (IT, Telecom, Dot Com Etc)",1989, Pierre Nanterme, 10000+," San Fransisco, California", 10001+," Hewlett Packard Development Company L.P. , IBM India Pvt Ltd , HCL Technologies Ltd , Cognizant Technology Solutions , Tata Consultancy Services Ltd","Accenture plc is a multinational management consulting, technology services, and outsourcing company.  Its incorporated headquarters have been in Dublin, Ireland since 1 September 2009. It is the world's largest consulting firm as measured by revenues  and is a Fortune Global 500 company.  As of 2015, the company reported net revenues of $31.0 billion, with more than 358,000 employees serving clients in more than 200 cities in 120 countries.  In 2012 Accenture had about 80,000 employees in India, more than in any other country, about 40,000 in the US, and about 35,000 in the Philippines.  Accenture's current clients include 89 of the Fortune Global 100 and more than three-quarters of the Fortune Global 500. Accenture common equity is listed on the New York Stock Exchange, under the symbol ACN, and was added to the S&P 500 index on 5 July 2011. In 2015, the Fortune magazine named it as the world's most admired Information Technology Services company. "
6,Accord Software,3.4,http://jobbuzz.timesjobs.com/ndata_images/logos/000038.gif,N,Accord Software & Systems Pvt Ltd,http://www.accord-soft.com/,3.5,3.3,3.5,3.4," Technology (IT, Telecom, Dot Com Etc)",1991, J.M.Sundaresan, 1000 - 2500," Bangalore, Karnataka", 201 - 500,-,0
7,Accel Frontline Limited,3.5,http://jobbuzz.timesjobs.com/ndata_images/logos/000031.gif,N,Accel Frontline,http://www.accelfrontline.in/,3.6,3.3,3.4,3.5," Technology (IT, Telecom, Dot Com Etc)",-,-, 100 - 500,-, 201 - 500,-,0
8,Aditi,4,http://jobbuzz.timesjobs.com/ndata_images/logos/000056.png,N,Aditi Technologies,http://www.aditi.com/,4,4,4,4.1," Technology (IT, Telecom, Dot Com Etc)",1994, Pradeep Rathinam, 100 - 500," Bangalore, Karnataka", 1001 - 5000," Accenture Pvt Ltd , Sonata Software Ltd , Infosys Technologies Ltd , Microsoft India Pvt Ltd , Infinite Computer Solutions (India) Ltd",0
9,Aditya Birla Minacs,3.5,http://jobbuzz.timesjobs.com/ndata_images/logos/000060.gif,N,Aditya Birla Minacs Ltd,http://minacs.adityabirla.com/home.aspx,3.5,3.4,3.7,3.5," Technology (IT, Telecom, Dot Com Etc)",-,-, 1000 - 2500,-, 10001+,-,"Minacs is a business and technology outsourcing company with headquarters in Toronto (Oshawa), Canada; Detroit (Farmington Hills), USA; and Bangalore, India.With 21,000 employees (as of March 2014) and 35 operations centers in Canada, Germany, Hungary, India, Jamaica, the Philippines, the United Kingdom, and the United States, Minacs provides the manufacturing, banking, financial services, insurance, telecom, high technology, media, and entertainment, healthcare, and government and public sectors with outsourced customer life cycle, marketing, finance and accounting, procurement and IT services. "
10,Adobe,3.4,http://jobbuzz.timesjobs.com/ndata_images/logos/000066.gif,N,Adobe Systems Ltd,http://www.adobe.com/in/,3.3,3.6,3.4,3.1," Technology (IT, Telecom, Dot Com Etc)",1982, Shantanu Narayen, 10000+," California, U.S.", 10001+," Hewlett Packard Development Company L.P. , IBM India Pvt Ltd , Dell India , Microsoft India Pvt Ltd , Cisco Systems Inc.","Adobe (i/əˈdoʊbi/, UK /əˈdoʊb/,  Spanish pronunciation:  , from Spanish: mud brick, from Arabic) is a building material made from earth and often organic material. Most adobe buildings are similar to cob and rammed earth buildings. Adobe is among the earliest building materials, and is used throughout the world."
