Member of Technical Staff I,Juniper Networks,6.7
Member of Technical Staff II,Juniper Networks,9.3
Member of Technical Staff III,Juniper Networks,12.1
Member of Technical Staff IV,Juniper Networks,19.4
Program Manager,Juniper Networks,20.6
QA Engineer III,Juniper Networks,12.6
Senior Software Engineer,Juniper Networks,10.8
Software Engineer,Juniper Networks,12.1
Technical Systems Analyst 5,Juniper Networks,20.5
Project architect,Kapl,6.1
Trainee Accountant,KBIHM Consulting,0.6
Project Manager,Keane,8.7
Senior Software Engineer,Keane,4.6
Software Engineer,Keane,3.8
Team Lead,Keane,8
Account Executive,Kerry Logistics,1.9
Lemar,Kingfisher airlines,10.7
Regional Manager,Kisan Mouldings,9.5
Associate Software Developer,Klonec Innovations,2.3
Senior Software Engineer,Komli Media,24.4
Software Engineer,Komli Media,15.6
Associate Engineer,Kony Labs,6.5
Corporate Banking Relationship Manager,Kotak,9.7
Vice President,Kotak,47.8
Software Developer,KopyKitab.com,4.2
Deputy Manager,Kotak life insurance,3.2
Consultant,KPIT Infosystems,6.4
Member of Technical Staff,KPIT Infosystems,10.4
Senior Functional Consultant,KPIT Infosystems,10.8
Senior Software Engineer,KPIT Infosystems,8.1
Software Engineer,KPIT Infosystems,5.1
Systems Executive,KPIT Infosystems,4.7
Tech Lead,KPIT Infosystems,7.7
Advisory Assistant Manager,KPMG,13
Analyst,KPMG,8.2
Associate Consultant,KPMG,7.9
Consultant,KPMG,6
Executive,KPMG,6.1
Management Consulting Consultant,KPMG,8.6
Senior Consultant,KPMG,12.4
Senior Consultant (FI&DS),KPMG,7.9
Welding Engineer,Krishna Engg Works,3.2
Regional Sales Manager - South,Kunhar Peripherals,11.6
Senior Engineer,Lanco Infratech,9.1
Account Executive,Larsen & Toubro (L&T),7.6
Assistant Manager,Larsen & Toubro (L&T),7.9
Engineer,Larsen & Toubro (L&T),5.2
Executive,Larsen & Toubro (L&T),5.3
Graduate Engineer Trainee,Larsen & Toubro (L&T),3.4
Management Trainee,Larsen & Toubro (L&T),7.5
Senior Engineer,Larsen & Toubro (L&T),5.8
Analyst,Latentview Analytics,4.5
Business Analyst,Latentview Analytics,3.8
Hr manager,Lalitha jewellery,4.6
Senior Executive - Human Resources,Lakshya Digital,3.8
Operation and maintenance engineer,Larsen & Toubro (L&T) Shipbuilding,2.3
Associate Systems Engineer,Lexmark International,2.2
Senior Software Engineer,Lexmark International,6.9
Software Engineer,Lexmark International,11.1
Finance Controller,Leggett & Platt,9.2
Senior Software Engineer,Lemonpro Technologies,6.8
Deputy Manager,LG Electronics,3.4
Sales Manager,LG Electronics,7.5
Senior Engineer,LG Electronics,8.4
Senior Software Engineer,LG Electronics,11.2
Systems Analyst,Lionbridge,6.3
JBOSS Administrator,Live connections,9
Senior Software Development Engineer,Limberlink Technologies,12.6
Senior Software Engineer,Lister Technologies,6.3
Executive Engineer,Linde Engineering,10.6
Product Manager,LinkedIn,21.5
Sales,Lodha,4.2
IT Consultant,Logica,7.5
Software Engineer,Logica,5.1
Team Lead,Logica,11.1
Management Trainee,Lowe lintas,26.3
CRM developer,Locus IT,1.2
Manager,LRN,8.8
ASIC Verification Engineer,LSI,9.6
Senior ASIC Design Engineer,LSI,15.4
Senior Design Engineer,LSI,14.4
Senior Software Engineer,LSI,17.3
Software Engineer,LSI,9.5
Managing Director,Lubing India,16.2
Management Trainee,Lucid Software,6.3
Cabin Crew (Female) Air Hostess,Lufthansa,7.4
Assistant Manager,Maersk Line,6.1
Lead Engineer,Magna Infotech,12.6
Assistant Manager,Mahindra Group,5.4
Consultant,Mahindra Group,8.5
Graduate Engineer Trainee,Mahindra Group,5
Associate,Mahindra Satyam,4.4
Associate Consultant,Mahindra Satyam,6.2
